Nr,Date,SWRos2,SWRos3
1,2014-01-01,38.83636364,35.9030303
2,2014-01-02,34.73805988,29.8677809
3,2014-01-03,32.32161568,26.14142969
4,2014-01-04,30.36453098,23.32864968
5,2014-01-05,28.77635399,21.15243312
6,2014-01-06,27.71756932,19.70162208
7,2014-01-07,27.10689468,18.83011346
8,2014-01-08,26.76714183,18.31802212
9,2014-01-09,26.37809455,17.81201474
10,2014-01-10,26.1187297,17.4746765
11,2014-01-11,25.9458198,17.24978433
12,2014-01-12,25.83054653,17.09985622
13,2014-01-13,25.75369769,16.99990415
14,2014-01-14,25.70246513,16.93326943
15,2014-01-15,25.66831008,16.88884629
16,2014-01-16,25.64554006,16.85923086
17,2014-01-17,25.63036004,16.83948724
18,2014-01-18,25.62024002,16.82632483
19,2014-01-19,25.61349335,16.81754988
20,2014-01-20,25.60899557,16.81169992
21,2014-01-21,25.60599704,16.80779995
22,2014-01-22,25.60399803,16.80519997
23,2014-01-23,25.60266535,16.80346664
24,2014-01-24,25.6017769,16.8023111
25,2014-01-25,25.6011846,16.80154073
26,2014-01-26,25.60078973,16.80102715
27,2014-01-27,25.60052649,16.80068477
28,2014-01-28,25.60035099,16.80045651
29,2014-01-29,25.600234,16.80030434
30,2014-01-30,25.600156,16.80020289
31,2014-01-31,25.600104,16.80013526
32,2014-02-01,25.60006933,16.80009018
33,2014-02-02,25.60004622,16.80006012
34,2014-02-03,25.60003081,16.80004008
35,2014-02-04,25.60002054,16.80002672
36,2014-02-05,25.6000137,16.80001781
37,2014-02-06,25.60000913,16.80001187
38,2014-02-07,25.60000609,16.80000792
39,2014-02-08,25.60000406,16.80000528
40,2014-02-09,25.60000271,16.80000352
41,2014-02-10,25.99830483,17.19830538
42,2014-02-11,25.86553656,17.06553692
43,2014-02-12,25.77702437,16.97702461
44,2014-02-13,25.71801625,16.91801641
45,2014-02-14,25.6786775,16.87867761
46,2014-02-15,25.65245167,16.85245174
47,2014-02-16,25.63496778,16.83496782
48,2014-02-17,25.68531173,16.88841341
49,2014-02-18,25.65687449,16.85894228
50,2014-02-19,25.63791632,16.83929485
51,2014-02-20,25.62527755,16.82619657
52,2014-02-21,25.6168517,16.81746438
53,2014-02-22,25.61123447,16.81164292
54,2014-02-23,25.63658055,16.83685285
55,2014-02-24,25.97347794,17.17365948
56,2014-02-25,26.13989439,17.34001541
57,2014-02-26,25.95992959,17.16001027
58,2014-02-27,25.83995306,17.04000685
59,2014-02-28,25.75996871,16.96000457
60,2014-03-01,25.7066458,16.90666971
61,2014-03-02,25.6710972,16.87111314
62,2014-03-03,25.64739814,16.84740876
63,2014-03-04,25.63159876,16.83160584
64,2014-03-05,25.62106584,16.82107056
65,2014-03-06,25.65258935,16.85259249
66,2014-03-07,26.39233088,17.62851892
67,2014-03-08,26.41912968,17.64325504
68,2014-03-09,26.611541,17.82762457
69,2014-03-10,26.95799703,18.16871941
70,2014-03-11,26.8107859,18.01793415
71,2014-03-12,27.22173605,18.42650156
72,2014-03-13,27.4084301,18.6116071
73,2014-03-14,27.06743825,18.26955625
74,2014-03-15,26.57829216,17.77970416
75,2014-03-16,26.25219478,17.45313611
76,2014-03-17,26.03479652,17.23542407
77,2014-03-18,25.88986434,17.09028272
78,2014-03-19,25.7932429,16.99352181
79,2014-03-20,25.7288286,16.92901454
80,2014-03-21,25.81652187,17.0223322
81,2014-03-22,26.04980246,17.25367601
82,2014-03-23,26.13486801,17.3452045
83,2014-03-24,26.24748776,17.45437876
84,2014-03-25,26.03165851,17.23625251
85,2014-03-26,25.88777234,17.090835
86,2014-03-27,26.1845755,17.38661728
87,2014-03-28,26.32426245,17.52562364
88,2014-03-29,26.67920527,17.88011273
89,2014-03-30,26.39219745,17.59280242
90,2014-03-31,26.12813164,17.32853495
91,2014-04-01,25.95208776,17.15235663
92,2014-04-02,25.86381608,17.06399533
93,2014-04-03,25.77587739,16.97599689
94,2014-04-04,25.71725159,16.91733126
95,2014-04-05,25.85271318,17.05276629
96,2014-04-06,25.84247541,17.04354471
