Date,GPP_RO2,GPP_RO3
2015-01-01,0.18,0.01
2015-01-02,0.33,0.10
2015-01-03,0.81,0.18
2015-01-04,0.18,-0.04
2015-01-05,0.52,0.28
2015-01-06,-0.27,-0.13
2015-01-07,0.02,0.12
2015-01-08,-0.02,0.01
2015-01-09,0.06,-0.05
2015-01-10,1.15,0.19
2015-01-11,1.29,0.82
2015-01-12,0.67,0.26
2015-01-13,0.26,0.28
2015-01-14,0.22,-0.03
2015-01-15,0.59,0.31
2015-01-16,0.37,-0.11
2015-01-17,0.39,-0.04
2015-01-18,0.17,0.15
2015-01-19,0.70,0.25
2015-01-20,-0.12,-0.25
2015-01-21,0.33,0.27
2015-01-22,-0.50,-0.35
2015-01-23,-0.35,-0.17
2015-01-24,0.21,0.47
2015-01-25,0.28,0.20
2015-01-26,0.26,0.62
2015-01-27,1.35,1.05
2015-01-28,0.16,0.61
2015-01-29,-0.42,0.29
2015-01-30,-0.50,0.25
2015-01-31,0.41,1.05
2015-02-01,1.21,1.25
2015-02-02,1.54,1.25
2015-02-03,1.40,0.84
2015-02-04,1.04,0.97
2015-02-05,1.21,0.87
2015-02-06,0.33,0.92
2015-02-07,0.65,1.04
2015-02-08,0.46,0.44
2015-02-09,0.44,0.53
2015-02-10,0.36,0.16
2015-02-11,0.23,0.15
2015-02-12,0.36,0.43
2015-02-13,0.01,0.15
2015-02-14,0.80,0.37
2015-02-15,0.06,-0.11
2015-02-16,0.12,0.20
2015-02-17,0.23,0.02
2015-02-18,0.25,0.24
2015-02-19,0.74,0.42
2015-02-20,0.63,0.50
2015-02-21,0.11,0.24
2015-02-22,0.13,0.19
2015-02-23,0.06,0.07
2015-02-24,0.34,0.39
2015-02-25,0.56,0.26
2015-02-26,0.67,0.50
2015-02-27,0.21,0.21
2015-02-28,0.66,0.57
2015-03-01,0.80,0.63
2015-03-02,0.57,0.47
2015-03-03,0.73,0.63
2015-03-04,0.92,0.71
2015-03-05,0.65,0.43
2015-03-06,0.90,0.54
2015-03-07,0.59,0.29
2015-03-08,0.99,0.73
2015-03-09,1.01,0.82
2015-03-10,0.45,0.54
2015-03-11,0.97,0.78
2015-03-12,0.78,0.70
2015-03-13,0.72,0.67
2015-03-14,0.71,0.62
2015-03-15,0.71,0.63
2015-03-16,0.53,0.60
2015-03-17,0.57,0.65
2015-03-18,0.52,0.54
2015-03-19,0.40,0.55
2015-03-20,0.67,0.76
2015-03-21,0.31,0.55
2015-03-22,0.22,0.29
2015-03-23,0.48,0.27
2015-03-24,0.76,0.47
2015-03-25,0.38,0.68
2015-03-26,0.34,0.44
2015-03-27,0.28,0.44
2015-03-28,0.60,0.83
2015-03-29,0.14,0.41
2015-03-30,0.81,0.82
2015-03-31,0.85,0.76
2015-04-01,1.44,1.66
2015-04-02,0.98,1.20
2015-04-03,1.47,1.51
2015-04-04,0.92,1.13
2015-04-05,1.98,1.80
2015-04-06,2.02,1.37
2015-04-07,2.01,1.98
2015-04-08,1.83,1.95
2015-04-09,2.26,2.43
2015-04-10,1.93,2.19
