Date;airTmean;airTmax;airTmin;Radiation;VP;Veg
2016-01-01;-2;0.9;-3.4;NaN;4.9;0
2016-01-02;-6.6;-3.2;-11.7;NaN;3.5;0
2016-01-03;-8.9;-8;-10.3;NaN;2.9;0
2016-01-04;-13.9;-9;-17.1;NaN;1.8;0
2016-01-05;-16.5;-14;-19.5;NaN;1.4;0
2016-01-06;-22.7;-18.8;-26.4;NaN;0.8;0
2016-01-07;-29.8;-25.8;-31.3;NaN;0.4;0
2016-01-08;-28.6;-21.9;-31.6;NaN;0.5;0
2016-01-09;-21.1;-17.5;-23.3;NaN;0.9;0
2016-01-10;-20.9;-14.9;-23.2;NaN;1;0
2016-01-11;-10.2;-8.9;-14.8;NaN;2.5;0
2016-01-12;-10.3;-8;-16.1;NaN;2.5;0
2016-01-13;-16.4;-14.9;-18.4;NaN;1.4;0
2016-01-14;-15.3;-13.9;-17.4;NaN;1.5;0
2016-01-15;-12.4;-9.8;-14.5;NaN;2;0
2016-01-16;-8.3;-6.8;-11.3;NaN;2.8;0
2016-01-17;-11.8;-5.9;-17.3;NaN;2.2;0
2016-01-18;-16.9;-14.6;-18.5;NaN;1.4;0
2016-01-19;-20;-15.5;-24.1;NaN;1.1;0
2016-01-20;-19.7;-14.3;-24.9;NaN;1.1;0
2016-01-21;-27;-22.6;-29.7;NaN;0.5;0
2016-01-22;-16;-11;-24.6;NaN;1.6;0
2016-01-23;-11.4;-7.2;-15.7;NaN;2.4;0
2016-01-24;-8.1;-5.7;-12.5;NaN;3.2;0
2016-01-25;-11.3;-5.9;-15.1;NaN;2.4;0
2016-01-26;-2;-0.2;-5.9;NaN;5.1;0
2016-01-27;-1.6;-0.1;-5.3;NaN;5.3;0
2016-01-28;-5.7;-3.5;-9.8;NaN;3.8;0
2016-01-29;-6.1;0.2;-10.4;NaN;3.8;0
2016-01-30;-0.8;0.4;-4.2;NaN;5.5;0
2016-01-31;-4.4;-2;-8.9;NaN;4.2;0
2016-02-01;-9.5;-5.4;-11.6;NaN;2.8;0
2016-02-02;-6.5;-4.3;-11;NaN;3.6;0
2016-02-03;-15;-10;-17.7;NaN;1.7;0
2016-02-04;-11.5;-3.8;-16.8;NaN;2.4;0
2016-02-05;-12.1;-7.3;-16.9;NaN;2.2;0
2016-02-06;-5.3;-0.1;-16.6;NaN;4.2;0
2016-02-07;-2.2;1.2;-6.9;NaN;5.1;0
2016-02-08;0.7;1.2;0.2;NaN;6.2;0
2016-02-09;0.4;1;0;NaN;6.1;0
2016-02-10;0.2;1.1;-0.2;NaN;6;0
2016-02-11;-1.6;0.2;-3.3;NaN;5.2;0
2016-02-12;-4;-3.3;-4.5;NaN;4.3;0
2016-02-13;-3.6;-2.5;-5.7;NaN;4.5;0
2016-02-14;-3.8;-2;-6.9;NaN;4.4;0
2016-02-15;-8.1;-5.4;-12.8;NaN;2.9;0
2016-02-16;-8.9;-3.5;-13.1;NaN;2.9;0
2016-02-17;-5.5;-2.5;-12.5;NaN;3.9;0
2016-02-18;-4.8;-2;-9.6;NaN;4.2;0
2016-02-19;-5.2;-2.2;-11.5;NaN;3.9;0
2016-02-20;-3.3;-1.1;-11.3;NaN;4.6;0
2016-02-21;-1.2;-0.1;-1.9;NaN;5.4;0
2016-02-22;-2.6;-1;-5.5;NaN;4.8;0
2016-02-23;-7.1;-3.5;-10.9;NaN;3.3;0
2016-02-24;-4.6;0.5;-10;NaN;4.1;0
2016-02-25;-11.7;-7.9;-16.9;NaN;2.2;0
2016-02-26;-13.8;-9.1;-19.6;NaN;1.8;0
2016-02-27;-13.9;-6.5;-19;NaN;1.9;0
2016-02-28;-11.7;-3.8;-15.9;NaN;2.2;0
2016-02-29;-8.3;1;-15.6;NaN;3.1;0
2016-03-01;-6.6;-2.5;-13;NaN;3.5;0
2016-03-02;-5.6;-2.5;-10.9;NaN;3.7;0
2016-03-03;-6.4;-4;-9.1;NaN;3.4;0
2016-03-04;-4.6;-3.8;-5.6;NaN;4.2;0
2016-03-05;-2.9;-1.9;-4;NaN;4.7;0
2016-03-06;-2.2;-0.7;-3.4;NaN;5;0
2016-03-07;-1.6;-0.7;-3.2;NaN;5.2;0
2016-03-08;-0.5;0.4;-1.7;NaN;5.7;0
2016-03-09;-0.6;0.1;-1.1;NaN;5.6;0
2016-03-10;-1.9;1.8;-6.2;NaN;4.9;0
2016-03-11;-1.6;5.4;-6.9;NaN;4.9;0
2016-03-12;-2.3;6.4;-8.4;NaN;4.4;0
2016-03-13;-1.6;2.8;-4.8;NaN;4.9;0
2016-03-14;1.1;6.1;-2.5;NaN;5.7;0
2016-03-15;5.5;12.7;-1.4;NaN;6.7;0
2016-03-16;5.5;9.9;1.8;NaN;6;0
2016-03-17;1.9;6.6;-3.6;NaN;4.9;0
2016-03-18;-3.9;-0.4;-6.7;NaN;2.3;0
2016-03-19;-3.2;0.8;-6.1;NaN;2.6;0
2016-03-20;-4.8;-1.4;-10.9;NaN;3.5;0
2016-03-21;-5.9;-1.6;-13.7;NaN;3.1;0
2016-03-22;-8.6;-3.4;-17.5;NaN;3;0
2016-03-23;-4.9;-1.8;-11.5;NaN;3.9;0
2016-03-24;-3.1;4.5;-11.2;NaN;3.9;0
2016-03-25;-0.2;3.9;-2.3;NaN;5.4;0
2016-03-26;1;7.6;-4.6;NaN;5.1;0
2016-03-27;1.9;7.8;-2.4;NaN;5.8;0
2016-03-28;2.9;8.5;-1.8;NaN;5.8;0
2016-03-29;2.8;7.9;-1.2;NaN;6;0
2016-03-30;0.6;4.7;-2;NaN;6.1;0
2016-03-31;1.1;6.8;-3.6;NaN;4.5;0
2016-04-01;-0.2;6.4;-6.2;NaN;3.7;0
2016-04-02;0;5.8;-6.9;NaN;3.8;0
2016-04-03;1.1;5.4;-2.7;NaN;5.7;0
2016-04-04;-0.3;2.5;-3.4;NaN;5.7;0
2016-04-05;0.5;1.8;0;NaN;6.1;0
2016-04-06;1.2;3.2;0.1;NaN;6.4;0
2016-04-07;2;7.1;-0.8;NaN;6.5;0
2016-04-08;2.2;7.2;-1.6;NaN;5.3;0
2016-04-09;2.9;8.9;-3.4;NaN;4.8;0
2016-04-10;3.1;8.7;-2.8;NaN;5.1;0
2016-04-11;2.4;10;-4.5;NaN;4.5;0
2016-04-12;3;7.9;-2.6;NaN;4.4;0
2016-04-13;-0.8;3.1;-7.3;NaN;3.8;0
2016-04-14;-2.9;2.4;-9.6;NaN;2.5;0
2016-04-15;-1.4;1.2;-5.5;NaN;4.4;0
2016-04-16;1.5;4.2;-0.9;NaN;6.6;0
2016-04-17;1.7;4.8;-0.9;NaN;6.6;0
2016-04-18;1.5;5.4;-2.3;NaN;5.6;0
2016-04-19;1.6;6.8;-3.1;NaN;4.8;0
2016-04-20;1.4;6.3;-4.1;NaN;4;0
2016-04-21;0.4;6.6;-5.4;NaN;5.4;0
2016-04-22;1.4;5.5;-1.8;NaN;4.6;0
2016-04-23;1.1;6.3;-3.1;NaN;4.6;0
2016-04-24;0.2;5.7;-4.7;NaN;3.9;0
2016-04-25;-0.9;1.7;-3.9;NaN;5;0
2016-04-26;0.8;3.9;-0.6;NaN;6;0
2016-04-27;1.9;6.8;0.2;NaN;6.8;0
2016-04-28;4.2;8.3;-0.2;NaN;6.9;0
2016-04-29;4.5;8.4;-1.4;NaN;7.2;0
2016-04-30;5.4;13.4;-1.9;19.1;5.8;1
2016-05-01;6.5;15.5;-0.7;16.2;5.8;1
2016-05-02;5.9;13.2;-1;20.4;5.7;1
2016-05-03;8.1;16.9;-0.5;19.7;6.2;1
2016-05-04;10;19.1;0.2;12.9;7.3;1
2016-05-05;8.7;17.4;-1.2;22.1;5.8;1
2016-05-06;9.9;18.6;-0.3;20.8;6.1;1
2016-05-07;11.5;19.1;2.6;16.4;6.7;1
2016-05-08;13.2;23;0.9;20.3;7;1
2016-05-09;10.2;18.5;2.5;20.2;5.7;1
2016-05-10;6.5;10.4;2.6;8.8;7.4;1
2016-05-11;6.6;13.2;-0.9;21.4;5;1
2016-05-12;7.8;16.9;-2.1;21;6.4;1
2016-05-13;5.6;12;-1.6;19.2;5.1;1
2016-05-14;3.9;9.6;-3.1;10;5.5;1
2016-05-15;8;14.4;-1.3;22.6;4.9;1
2016-05-16;7.9;11.2;3.9;6.9;5.9;1
2016-05-17;6.3;12.1;-2.5;17.4;4.8;1
2016-05-18;2.4;6;-3.2;7.5;6;1
2016-05-19;3.1;7.8;-1.3;5.9;7.2;1
2016-05-20;6.4;14;-2.7;23.3;5.2;1
2016-05-21;9.7;16;3;10.7;9;1
2016-05-22;11.6;20.8;2.6;21.1;8.8;1
2016-05-23;11.7;17.5;8.2;10.3;11.8;1
