Day;ET
98.09116809;0.512747669
107.8846154;0.6848412
115.0071225;0.948697714
121.2393162;1.133538915
127.47151;1.278923045
139.045584;1.477523634
145.2777778;1.701821905
150.6196581;1.86025722
159.522792;2.084859007
169.3162393;2.16488604
175.548433;2.507555523
186.2321937;2.258874806
196.9159544;2.457374223
209.3803419;2.314114705
218.2834758;2.446649994
225.4059829;2.855182433
240.5413105;2.554398148
244.9928775;2.015657375
249.4444444;1.700506669
261.9088319;1.267895299
276.1538462;1.40103762
281.4957265;1.125445157
284.1666667;0.836396821
285.9472934;0.678770882
295.7407407;0.48259842
303.7535613;0.404594826
