at the end of growing season,sample tree number,dimater at 1.3m (m),basal area (m2),basal area increment (m2 yr-1),tree height (m),specific wood density for each year (kg m-3),stem volume over bark (m3),stem volume uner bark (m3),stem bark drymass (kg),coarse root biomass (kg),Foliage biomass (kg),Branch biomass (kg)
2006,1,0.1182271,0.010978018,0.00059129,12.8,376.3903914,0.076174534,0.06341014,4.078987699,10.05075629,2.90885391,3.503996209
2006,2,0.1056348,0.008764031,0.000281935,11.89,416.732982,0.057277663,0.047442175,3.410957093,8.299601686,2.508876702,2.612215486
2006,3,0.2021016,0.032079633,0.000600969,16.575,368.003615,0.266674124,0.22714526,10.01728794,25.0047175,7.010858777,15.71800392
2006,4,0.1400987,0.015415517,0.000806279,15.205,367.2765133,0.125401033,0.105233503,5.178359962,13.41248963,3.238587231,5.098682732
2006,5,0.1844021,0.026706785,0.000774639,16.78,385.7615047,0.229400459,0.194728118,8.348702355,21.39734329,5.420230048,11.42374276
2006,6,0.0942291,0.006973647,0.000129205,10.28,396.318932,0.039607115,0.032619728,2.94867514,6.834480774,2.468484565,2.096982983
2007,1,0.1212641,0.011549266,0.000571247,13.15,386.236613,0.082180758,0.068493194,4.224389756,10.49357212,2.948921567,3.700867853
2007,2,0.1074128,0.009061539,0.000297508,12.145,415.504354,0.060446711,0.050108683,3.484365989,8.53846432,2.514999805,2.697518705
2007,3,0.2049396,0.032986911,0.000907279,16.77,353.1616651,0.27705627,0.236139838,10.22830486,25.60452307,7.105860253,16.25391051
2007,4,0.1440917,0.016306765,0.000891248,15.505,374.4429828,0.134820386,0.113280258,5.411595841,14.06877477,3.35314694,5.479505602
2007,5,0.1872101,0.027526338,0.000819553,17.17,363.4342934,0.241886226,0.205488168,8.495002672,21.95416438,5.393630957,11.71207462
2007,6,0.0954611,0.007157193,0.000183546,10.45,410.4104973,0.04129705,0.034033505,2.998114991,6.987072532,2.473697123,2.150351165
2008,1,0.1242411,0.012123289,0.000574023,13.61,379.8099267,0.089225678,0.074456961,4.349300788,10.93524016,2.939555784,3.862545665
2008,2,0.1089358,0.009320327,0.000258788,12.345,416.5331624,0.063144276,0.052380882,3.550329735,8.745283172,2.527659004,2.776444636
2008,3,0.2084426,0.034124229,0.001137318,17.06,335.8662242,0.291179964,0.248377619,10.47520124,26.35292778,7.183095818,16.87506134
2008,4,0.1495207,0.017558707,0.001251942,15.755,366.4478618,0.146688474,0.123445605,5.762951292,14.98167809,3.575313354,6.089575571
2008,5,0.1901961,0.02841143,0.000885093,17.51,353.4156099,0.254410058,0.216296883,8.670466508,22.55272878,5.41132033,12.08116478
2008,6,0.0968251,0.007363186,0.000205993,10.79,377.3533968,0.043917694,0.036223268,3.031313574,7.157628219,2.414055129,2.175934607
2009,1,0.1272271,0.012713032,0.000589743,13.98,360.336772,0.095966078,0.080174073,4.490752791,11.38574712,2.968654472,4.058367029
2009,2,0.1110258,0.00968139,0.000361063,12.885,404.3133426,0.068562903,0.056939096,3.603224751,9.032407516,2.44670873,2.821013674
2009,3,0.2136706,0.035857452,0.001733223,17.48,326.3853659,0.312868156,0.267190256,10.85088717,27.48632904,7.307707466,17.84047499
2009,4,0.1557527,0.019052898,0.001494192,15.985,362.0859708,0.160435488,0.135244559,6.187359576,16.05856361,3.860828862,6.866385009
2009,5,0.1942341,0.029630627,0.001219196,17.89,345.448505,0.270649428,0.230333654,8.929656699,23.37268692,5.482062424,12.65299653
2009,6,0.0982491,0.007581359,0.000218172,11.22,383.2358591,0.047112509,0.038893657,3.056350807,7.337489329,2.327010587,2.18767648
2010,1,0.1314121,0.013563151,0.000850119,14.38,372.2017601,0.104987147,0.087842106,4.710825698,12.02969667,3.056682403,4.381597281
2010,2,0.1133738,0.010095208,0.000413819,13.245,415.5744835,0.073430674,0.061045713,3.698933441,9.359517043,2.449782253,2.933898389
2010,3,0.2192956,0.037770238,0.001912786,17.82,327.9837951,0.334989994,0.286418,11.29517148,28.72765746,7.529307903,19.04390752
2010,4,0.1623527,0.020701838,0.00164894,16.23,359.2352007,0.175822988,0.148473403,6.649117122,17.23238291,4.17058043,7.75335441
2010,5,0.1988381,0.031051965,0.001421339,18.26,354.969431,0.28885188,0.246091416,9.244074929,24.32223632,5.598711792,13.37393382
2010,6,0.0998261,0.007826689,0.000245331,11.75,390.8680543,0.051065479,0.042200122,3.078374925,7.538815048,2.22073555,2.191958361
2011,1,0.1368571,0.014710402,0.001147251,14.81,365.3638502,0.116730194,0.09784598,5.017247638,12.88923195,3.206581209,4.855467714
2011,2,0.1159148,0.010552799,0.000457591,13.61,388.395094,0.07878581,0.065569405,3.806933577,9.71889445,2.462354675,3.065172754
2011,3,0.2256396,0.039987157,0.002216919,18.03,325.0488776,0.357258197,0.30582529,11.86026882,30.15462936,7.920395994,20.67302978
2011,4,0.1683117,0.02224941,0.001547571,16.59,360.0458892,0.192261972,0.162612694,7.046812795,18.3213177,4.386609281,8.533315245
2011,5,0.2031001,0.0323974,0.001345435,18.625,363.6747142,0.306819135,0.261658542,9.532163572,25.21508085,5.692855063,14.04234742
2011,6,0.1018251,0.008143284,0.000316595,12.35,399.0121499,0.055968595,0.046307767,3.118112862,7.797230478,2.125809463,2.216039727
2012,1,0.1414911,0.01572346,0.001013058,15.23,353.6132612,0.127882051,0.107358021,5.273236515,13.63987662,3.311099431,5.259979883
2012,2,0.1190378,0.01112909,0.000576291,14.01,350.4338284,0.085375697,0.071144935,3.947916824,10.16819249,2.494656113,3.24344801
2012,3,0.2297626,0.041461838,0.001474682,18.24,323.7596252,0.37390007,0.320327716,12.20800835,31.09724606,8.115297609,21.67936533
2012,4,0.1744007,0.02388836,0.00163895,16.75,354.9274062,0.207145798,0.17545647,7.50781969,19.46223063,4.716795458,9.504862875
2012,5,0.2065281,0.03350026,0.00110286,18.995,349.3116085,0.323256874,0.275902789,9.745818248,25.94280085,5.724185032,14.52803358
2012,6,0.1037931,0.0084611,0.000317817,12.84,373.7398389,0.060519834,0.050127619,3.171681877,8.055131108,2.073732418,2.262416551
2013,1,0.1455441,0.016637156,0.000913696,15.53,409.9806142,0.137517272,0.115592624,5.512311579,14.31068329,3.429652641,5.655679835
2013,2,0.1203078,0.011367827,0.000238737,14.43,405.2814534,0.089961384,0.075016519,3.969312682,10.35328943,2.423740265,3.252077981
2013,3,0.2325186,0.042462473,0.001000634,18.44,340.2034018,0.386706168,0.3314833,12.42187163,31.7339811,8.195186097,22.28751307
2013,4,0.1795117,0.025309024,0.001420665,17.03,397.8709153,0.222275425,0.188509054,7.869564666,20.44169497,4.920915614,10.27508213
2013,5,0.2088861,0.034269594,0.000769334,19.325,374.588379,0.336372484,0.287266528,9.874009746,26.44831257,5.703454973,14.80321118
2013,6,0.1053751,0.008720992,0.000259891,13.33,408.4066436,0.06486482,0.053775641,3.2037559,8.264946499,2.007825417,2.282732697
2014,1,0.1513291,0.017986008,0.001348852,15.7,360.1925013,0.149296826,0.125695066,5.90798725,15.29099641,3.711274223,6.363155
2014,2,0.1237998,0.012037319,0.000669492,14.78,403.108364,0.097291306,0.081235541,4.142845927,10.86929596,2.4917638,3.483792863
2014,3,0.2362046,0.043819416,0.001356943,18.74,350.9948566,0.405071085,0.347485899,12.69842533,32.59386722,8.274250916,23.07103175
2014,4,0.1837337,0.026513528,0.001204504,17.19,377.6008163,0.23419529,0.198812762,8.189873586,21.26566962,5.13022259,10.98853298
2014,5,0.2116461,0.035181182,0.000911587,19.645,381.3584353,0.350819131,0.299799376,10.04208974,27.0450981,5.717259881,15.18650514
2014,6,0.1068261,0.008962819,0.000241827,13.92,392.2967507,0.069800214,0.057919969,3.21758408,8.459336647,1.915456565,2.277295715
2015,1,0.1558991,0.019088733,0.001102725,16.05,349.1764652,0.161442606,0.136103352,6.185794808,16.0842306,3.840474404,6.857031721
2015,2,0.1279148,0.012850839,0.00081352,15.01,376.7029186,0.104979469,0.087777551,4.376894074,11.49056157,2.6306924,3.819085416
2015,3,0.2399586,0.045223328,0.001403912,19.07,359.4295838,0.424969193,0.364833324,12.97345982,33.47932257,8.334099816,23.85042434
2015,4,0.1883127,0.027851533,0.001338005,17.5,368.2431614,0.249747858,0.212250554,8.50882848,22.17441606,5.281245898,11.69438333
2015,5,0.2146131,0.036174483,0.000993302,19.975,354.5738518,0.366505539,0.313418848,10.22741053,27.6927448,5.740184337,15.6169873
2015,6,0.1086551,0.009272356,0.000309537,14.42,374.2958201,0.074877434,0.062193107,3.265261136,8.707011827,1.871005767,2.317498275
2016,1,0.1603391,0.020191508,0.001102776,16.36,371.413781,0.173482987,0.146437192,6.465484157,16.87065036,3.979185364,7.372004587
2016,2,0.1314508,0.013571141,0.000720302,15.2,373.9578145,0.111815789,0.093602469,4.582845511,12.03571942,2.754009674,4.124605286
2016,3,0.2440696,0.046786145,0.001562817,19.34,355.8811967,0.445113713,0.382425228,13.30840477,34.46016512,8.47489959,24.84985794
2016,4,0.1924367,0.029084773,0.00123324,17.695,378.4653096,0.262906456,0.223642197,8.820534735,23.00621738,5.465722717,12.41672606
2016,5,0.2170261,0.036992511,0.000818028,20.205,355.8076536,0.378785422,0.324092548,10.38888278,28.22410688,5.779755239,16.00573206
2016,6,0.1104961,0.009589231,0.000316875,14.83,383.8142939,0.079645191,0.066212478,3.324733461,8.959276182,1.852037608,2.376049534
2017,1,0.1649141,0.021360207,0.001168699,16.75,388.7237733,0.187371289,0.15836501,6.743339442,17.69708065,4.089015195,7.888235734
2017,2,0.1346558,0.014240984,0.000669844,15.435,378.55702,0.118789372,0.099546084,4.762612745,12.53880017,2.844870401,4.394143393
2017,3,0.2470956,0.047953455,0.001167311,19.64,350.4898739,0.46302321,0.39805564,13.52111466,35.18957289,8.494537434,25.45404647
2017,4,0.1955847,0.03004413,0.000959357,17.95,385.9237681,0.275070439,0.234165622,9.033913751,23.64962624,5.54466139,12.90071789
2017,5,0.2203461,0.038132969,0.001140458,20.455,364.3769379,0.394673836,0.337921352,10.62971439,28.96197963,5.869922837,16.60877744
2017,6,0.1117271,0.009804082,0.000214851,15.32,408.2490132,0.084274825,0.070111363,3.340717644,9.129606499,1.791434264,2.378246839
2018,1,0.1682451,0.022231805,0.000871598,16.92,371.5988762,0.196437008,0.166170242,6.971514336,18.30899583,4.221731336,8.338164343
2018,2,0.1374218,0.014832049,0.000591064,15.6,436.4145789,0.124687096,0.104580217,4.925607141,12.97976848,2.936749206,4.647226056
2018,3,0.2490606,0.048719177,0.000765722,19.87,378.2301927,0.475850915,0.409250556,13.64754909,35.66659384,8.479074772,25.80018291
2018,4,0.1978697,0.030750237,0.000706107,18.2,401.5132956,0.285273308,0.24298977,9.173115156,24.12121716,5.563916766,13.20610822
2018,5,0.2241871,0.039473998,0.00134103,20.72,420.5928628,0.413047889,0.353929363,10.91688184,29.82540292,5.987025142,17.34453675
