Date,GPP_RO2,GPP_RO3
2017-01-01,0.08,-0.09
2017-01-02,0.02,-0.02
2017-01-03,0.03,0.02
2017-01-04,0.13,0.02
2017-01-05,0.00,-0.01
2017-01-06,0.02,0.03
2017-01-07,0.14,-0.06
2017-01-08,-0.13,0.08
2017-01-09,0.13,0.11
2017-01-10,0.09,0.18
2017-01-11,-0.05,0.07
2017-01-12,-0.04,0.04
2017-01-13,0.02,-0.22
2017-01-14,-0.05,0.12
2017-01-15,-0.07,-0.12
2017-01-16,0.03,0.12
2017-01-17,-0.13,0.06
2017-01-18,-0.25,0.06
2017-01-19,0.02,0.04
2017-01-20,0.12,0.09
2017-01-21,-0.29,-0.17
2017-01-22,0.07,0.18
2017-01-23,0.20,0.09
2017-01-24,-0.03,-0.04
2017-01-25,0.03,0.10
2017-01-26,0.25,0.12
2017-01-27,0.06,0.06
2017-01-28,-0.07,-0.15
2017-01-29,-0.13,-0.17
2017-01-30,0.31,0.04
2017-01-31,0.11,-0.28
2017-02-01,-0.05,-0.29
2017-02-02,0.07,0.03
2017-02-03,0.08,-0.01
2017-02-04,0.03,-0.06
2017-02-05,0.20,0.03
2017-02-06,0.19,0.10
2017-02-07,0.13,-0.09
2017-02-08,-0.11,-0.45
2017-02-09,0.05,-0.14
2017-02-10,0.22,0.08
2017-02-11,0.13,-0.03
2017-02-12,0.10,0.06
2017-02-13,0.20,0.03
2017-02-14,0.11,0.17
2017-02-15,0.10,0.12
2017-02-16,0.33,0.16
2017-02-17,0.19,0.02
2017-02-18,0.40,0.27
2017-02-19,0.42,0.10
2017-02-20,0.13,-0.01
2017-02-21,0.01,-0.12
2017-02-22,0.15,0.04
2017-02-23,0.30,0.17
2017-02-24,0.30,0.10
2017-02-25,0.11,0.03
2017-02-26,0.05,-0.22
2017-02-27,-0.02,-0.06
2017-02-28,0.44,0.14
2017-03-01,0.53,0.27
2017-03-02,0.64,0.33
2017-03-03,0.29,0.30
2017-03-04,0.07,0.30
2017-03-05,0.02,0.04
2017-03-06,0.11,0.11
2017-03-07,0.28,-0.03
2017-03-08,0.60,0.60
2017-03-09,0.53,0.45
2017-03-10,0.41,0.39
2017-03-11,0.37,0.39
2017-03-12,0.23,0.19
2017-03-13,0.40,0.23
2017-03-14,0.57,0.52
2017-03-15,0.42,0.48
2017-03-16,0.56,0.58
2017-03-17,0.66,0.56
2017-03-18,0.66,0.47
2017-03-19,0.65,0.47
2017-03-20,0.69,0.47
2017-03-21,0.45,0.57
2017-03-22,0.72,0.75
2017-03-23,0.73,0.60
2017-03-24,0.57,0.57
2017-03-25,0.80,0.76
2017-03-26,0.67,0.72
2017-03-27,0.70,0.85
2017-03-28,0.54,0.84
2017-03-29,0.61,0.39
2017-03-30,0.77,0.58
2017-03-31,0.73,0.64
2017-04-01,1.20,1.09
2017-04-02,2.14,1.71
2017-04-03,1.02,0.93
2017-04-04,1.40,1.33
2017-04-05,1.49,1.29
2017-04-06,1.57,1.42
2017-04-07,1.36,1.13
2017-04-08,1.12,0.90
2017-04-09,1.65,1.13
2017-04-10,1.61,1.30
2017-04-11,1.85,1.92
2017-04-12,2.22,2.02
2017-04-13,0.80,0.66
2017-04-14,0.94,0.69
2017-04-15,0.69,1.01
2017-04-16,0.88,1.11
2017-04-17,0.76,0.96
2017-04-18,1.15,1.23
2017-04-19,0.80,0.85
2017-04-20,1.16,0.98
2017-04-21,1.73,1.58
2017-04-22,1.73,1.67
2017-04-23,1.87,1.71
2017-04-24,1.43,1.59
2017-04-25,1.79,1.49
2017-04-26,2.01,1.91
2017-04-27,1.82,1.71
2017-04-28,2.28,2.16
2017-04-29,1.43,1.40
2017-04-30,2.27,2.23
2017-05-01,2.85,2.09
2017-05-02,2.84,2.42
2017-05-03,2.52,2.47
2017-05-04,2.57,2.19
2017-05-05,2.82,3.00
2017-05-06,3.18,2.86
2017-05-07,3.70,2.80
2017-05-08,2.79,2.10
2017-05-09,2.54,2.16
2017-05-10,2.17,2.44
2017-05-11,2.78,2.25
2017-05-12,3.02,2.97
2017-05-13,3.42,3.50
2017-05-14,2.85,2.94
2017-05-15,3.13,3.67
2017-05-16,3.11,4.02
2017-05-17,3.35,3.28
2017-05-18,3.89,3.14
2017-05-19,4.80,4.33
2017-05-20,5.80,4.88
2017-05-21,4.33,4.02
2017-05-22,5.11,4.64
2017-05-23,6.15,5.53
2017-05-24,5.49,4.75
2017-05-25,6.07,5.07
2017-05-26,6.72,6.25
2017-05-27,4.78,3.82
2017-05-28,4.15,3.56
2017-05-29,6.47,6.21
2017-05-30,5.53,5.74
2017-05-31,5.80,5.24
2017-06-01,6.16,4.80
2017-06-02,5.71,5.02
2017-06-03,6.00,5.77
2017-06-04,5.87,4.87
2017-06-05,4.29,2.91
2017-06-06,6.93,6.36
2017-06-07,5.51,5.83
2017-06-08,5.68,5.96
2017-06-09,4.81,4.25
2017-06-10,5.93,6.23
2017-06-11,5.14,4.76
2017-06-12,5.48,4.26
2017-06-13,6.64,6.18
2017-06-14,6.38,6.17
2017-06-15,6.64,6.41
2017-06-16,7.23,6.97
2017-06-17,6.01,5.58
2017-06-18,6.88,6.48
2017-06-19,7.38,6.67
2017-06-20,8.58,7.35
2017-06-21,7.52,5.91
2017-06-22,7.82,5.59
2017-06-23,8.30,7.38
2017-06-24,5.28,4.22
2017-06-25,3.84,2.95
2017-06-26,8.82,6.30
2017-06-27,8.70,6.79
2017-06-28,8.46,7.81
2017-06-29,7.44,6.97
2017-06-30,7.76,6.87
2017-07-01,7.33,7.45
2017-07-02,7.35,7.93
2017-07-03,4.69,3.83
2017-07-04,6.95,5.73
2017-07-05,6.28,5.43
2017-07-06,8.51,8.08
2017-07-07,8.32,8.48
2017-07-08,8.92,8.04
2017-07-09,8.35,7.56
2017-07-10,6.24,5.98
2017-07-11,8.17,7.20
2017-07-12,5.99,5.21
2017-07-13,9.05,7.88
2017-07-14,9.09,6.40
2017-07-15,10.24,9.04
2017-07-16,8.69,8.03
2017-07-17,9.90,7.58
2017-07-18,9.25,7.31
2017-07-19,8.71,6.62
2017-07-20,8.92,6.84
2017-07-21,9.05,6.95
2017-07-22,9.12,6.84
2017-07-23,9.65,7.94
2017-07-24,8.22,6.42
2017-07-25,8.42,6.39
2017-07-26,9.67,7.88
2017-07-27,9.82,8.93
2017-07-28,7.51,6.89
2017-07-29,7.66,6.63
2017-07-30,8.98,7.97
2017-07-31,6.96,7.02
2017-08-01,6.90,6.01
2017-08-02,8.86,8.25
2017-08-03,8.47,6.65
2017-08-04,9.88,7.29
2017-08-05,7.38,5.05
2017-08-06,3.11,2.30
2017-08-07,8.81,8.35
2017-08-08,7.62,6.48
2017-08-09,8.86,6.60
2017-08-10,4.09,3.33
2017-08-11,8.27,7.16
2017-08-12,7.83,6.52
2017-08-13,7.47,5.15
2017-08-14,8.72,6.93
2017-08-15,8.57,6.16
2017-08-16,5.10,5.06
2017-08-17,8.90,7.32
2017-08-18,8.22,6.12
2017-08-19,3.05,2.77
2017-08-20,6.63,6.43
2017-08-21,6.65,5.74
2017-08-22,6.99,5.50
2017-08-23,7.62,5.85
2017-08-24,6.31,5.56
2017-08-25,6.53,5.64
2017-08-26,6.66,6.01
2017-08-27,5.59,6.02
2017-08-28,6.10,5.83
2017-08-29,3.08,3.36
2017-08-30,5.44,5.90
2017-08-31,4.81,5.39
2017-09-01,4.20,4.51
2017-09-02,5.81,5.14
2017-09-03,5.27,5.23
2017-09-04,5.26,5.19
2017-09-05,5.96,5.27
2017-09-06,5.66,5.09
2017-09-07,4.92,3.96
2017-09-08,4.22,2.68
2017-09-09,3.20,2.76
2017-09-10,1.66,1.43
2017-09-11,5.18,3.77
2017-09-12,1.36,1.52
2017-09-13,3.94,4.13
2017-09-14,4.51,3.90
2017-09-15,4.14,3.23
2017-09-16,4.71,4.39
2017-09-17,4.20,3.74
2017-09-18,2.64,2.19
2017-09-19,3.54,2.95
2017-09-20,2.79,1.88
2017-09-21,3.58,3.41
2017-09-22,2.70,2.54
2017-09-23,2.11,2.04
2017-09-24,1.82,1.56
2017-09-25,2.01,2.11
2017-09-26,2.01,1.92
2017-09-27,2.70,2.62
2017-09-28,2.86,3.04
2017-09-29,2.82,2.16
2017-09-30,2.48,2.22
2017-10-01,3.24,3.16
2017-10-02,0.81,1.14
2017-10-03,1.03,0.89
2017-10-04,2.43,2.37
2017-10-05,2.30,2.31
2017-10-06,2.42,2.69
2017-10-07,1.90,2.26
2017-10-08,2.14,1.78
2017-10-09,1.44,1.57
2017-10-10,2.16,1.64
2017-10-11,2.10,2.01
2017-10-12,1.99,1.97
2017-10-13,2.29,2.32
2017-10-14,1.78,1.74
2017-10-15,2.27,1.93
2017-10-16,1.93,2.34
2017-10-17,1.89,2.10
2017-10-18,2.15,1.99
2017-10-19,1.84,2.14
2017-10-20,0.93,0.99
2017-10-21,1.47,1.74
2017-10-22,1.38,1.73
2017-10-23,1.20,1.71
2017-10-24,1.26,1.43
