Date	airTmean	airTmax	airTmin	Radiation	VP	Veg	CO2
2015-01-01	2.1	5.3	-0.9	NaN	6.6	0	395.291836170213
2015-01-02	0	1	-1.3	NaN	5.8	0	397.425925
2015-01-03	-1.6	-0.1	-3.4	NaN	4.7	0	395.117959020833
2015-01-04	-5.8	-3.3	-9.3	NaN	3.4	0	396.627552083333
2015-01-05	-9.6	-8.3	-12.7	NaN	2.7	0	397.221008854167
2015-01-06	-4.5	-1	-9.6	NaN	4.3	0	396.423723958333
2015-01-07	-2.3	-0.5	-7.5	NaN	5	0	397.887616145833
2015-01-08	-2.4	-0.3	-7.8	NaN	5	0	399.8049421875
2015-01-09	-6.4	-2.6	-10.6	NaN	3.6	0	398.8536546875
2015-01-10	-9.9	-6.1	-11.4	NaN	2.6	0	399.674250520833
2015-01-11	-13.9	-8.3	-18.3	NaN	1.8	0	399.391805729167
2015-01-12	-17.6	-14.7	-19.2	NaN	1.3	0	399.851327083333
2015-01-13	-12.8	-6.2	-16.7	NaN	2.1	0	401.331957458333
2015-01-14	-9.7	-5.3	-12.8	NaN	2.8	0	402.636740270833
2015-01-15	-11.5	-0.2	-16.6	NaN	2.5	0	396.529265625
2015-01-16	-0.3	0.2	-1.3	NaN	5.7	0	398.152972916667
2015-01-17	-1.1	0.3	-6.9	NaN	5.5	0	397.761748958333
2015-01-18	-6.8	-3.7	-9.3	NaN	3.5	0	399.2700375
2015-01-19	-9	-7.5	-9.8	NaN	2.8	0	397.840790104167
2015-01-20	-9.7	-8	-12.9	NaN	2.7	0	399.854441145833
2015-01-21	-8	-5.8	-11.4	NaN	3.2	0	400.407060770833
2015-01-22	-13.1	-10.7	-15.3	NaN	2	0	400.206427604167
2015-01-23	-12.7	-11.5	-15.7	NaN	2	0	402.312408854167
2015-01-24	-6.8	-1.9	-14.4	NaN	3.6	0	402.744576041667
2015-01-25	-9.5	-2.2	-14.9	NaN	2.9	0	398.530891666667
2015-01-26	-4.1	-1.6	-13.5	NaN	4.4	0	398.484474479167
2015-01-27	-6.9	-4.3	-9.8	NaN	3.5	0	395.964925520833
2015-01-28	-3.5	-1.3	-8.3	NaN	4.5	0	397.415838020833
2015-01-29	-0.5	0.1	-1.3	NaN	5.7	0	398.120385416667
2015-01-30	-1.2	-0.6	-2.7	NaN	5.4	0	397.409299479167
2015-01-31	-4.4	-1.4	-5.8	NaN	4.2	0	400.676708333333
2015-02-01	-6.8	-4.4	-9.7	NaN	3.3	0	400.949777770833
2015-02-02	-10.7	-9.7	-12	NaN	2.3	0	400.814703125
2015-02-03	-12.2	-11.4	-12.8	NaN	2	0	399.863909782609
2015-02-04	-10.2	-9.2	-11.4	NaN	2.4	0	401.721334375
2015-02-05	-8.8	-3.2	-13.3	NaN	3	0	400.965671875
2015-02-06	-0.8	2.6	-3.6	NaN	5.7	0	395.351721666667
2015-02-07	-1.5	1.1	-4.5	NaN	4.3	0	394.898174479167
2015-02-08	-6.3	-3.8	-8.2	NaN	2.7	0	395.869830208333
2015-02-09	-2.9	2.6	-9.3	NaN	4.9	0	394.665783854167
2015-02-10	5.1	8.5	2.4	NaN	6.3	0	395.76161025
2015-02-11	4.8	6.6	3.1	NaN	6	0	395.818393229167
2015-02-12	-0.2	4.5	-9.4	NaN	3.9	0	396.076131976744
2015-02-13	-5.3	-2.5	-9.6	NaN	3.4	0	397.999425
2015-02-14	-6.9	-3.1	-15.2	NaN	3.2	0	398.365037833333
2015-02-15	-11.2	-5.4	-18.4	NaN	2.3	0	398.3184538125
2015-02-16	-4.6	-1.7	-6.7	NaN	3.4	0	399.919307978261
2015-02-17	-2.4	-0.9	-4.5	NaN	4.2	0	405.111046875
2015-02-18	-2.1	0.6	-6.9	NaN	4	0	403.058858333333
